city,AQI,PM2.5,PM10,SO2,NO2,CO,CO3,main_pollution,time
海口市,30,19,30,3,14,0.6,76,―,2021-01-26 21:00:00
三亚市,30,14,30,3,6,0.5,83,―,2021-01-26 21:00:00
儋州市,46,20,46,2,14,0.6,73,―,2021-01-26 21:00:00
重庆市,79,58,84,9,46,1.1,11,PM2.5,2021-01-26 21:00:00
成都市,95,71,110,5,47,0.9,40,PM2.5,2021-01-26 21:00:00
自贡市,107,80,121,9,63,1.0,12,PM2.5,2021-01-26 21:00:00
攀枝花市,117,88,114,18,78,1.4,28,PM2.5,2021-01-26 21:00:00
泸州市,98,73,99,11,50,1.2,6,PM2.5,2021-01-26 21:00:00
德阳市,87,64,99,4,57,1.0,29,PM2.5,2021-01-26 21:00:00
绵阳市,79,58,108,8,62,1.0,34,"PM10,PM2.5",2021-01-26 21:00:00
广元市,63,45,76,8,22,0.8,62,"PM10,PM2.5",2021-01-26 21:00:00
遂宁市,77,54,103,8,55,1.2,40,PM10,2021-01-26 21:00:00
内江市,112,84,98,10,58,1.6,21,PM2.5,2021-01-26 21:00:00
乐山市,99,74,122,8,51,0.9,26,PM2.5,2021-01-26 21:00:00
南充市,97,72,94,7,24,1.3,33,PM2.5,2021-01-26 21:00:00
眉山市,74,54,94,10,42,0.9,43,PM2.5,2021-01-26 21:00:00
宜宾市,112,84,102,9,57,1.1,1,PM2.5,2021-01-26 21:00:00
广安市,78,57,70,4,33,1.3,12,PM2.5,2021-01-26 21:00:00
达州市,105,79,98,12,37,1.2,24,PM2.5,2021-01-26 21:00:00
雅安市,83,61,101,7,51,1.0,18,PM2.5,2021-01-26 21:00:00
巴中市,98,73,113,4,50,1.1,10,PM2.5,2021-01-26 21:00:00
资阳市,73,53,84,5,36,1.1,47,PM2.5,2021-01-26 21:00:00
阿坝州,72,52,56,16,20,1.3,36,PM2.5,2021-01-26 21:00:00
甘孜州,24,16,24,6,9,0.4,74,―,2021-01-26 21:00:00
凉山州,82,60,85,20,30,0.8,80,PM2.5,2021-01-26 21:00:00
贵阳市,43,30,39,11,30,1.0,23,―,2021-01-26 21:00:00
六盘水市,43,30,32,6,19,1.0,38,―,2021-01-26 21:00:00
遵义市,52,36,51,15,23,0.8,56,PM2.5,2021-01-26 21:00:00
安顺市,15,10,15,15,15,1.0,36,―,2021-01-26 21:00:00
铜仁地区,79,58,89,4,34,0.9,33,PM2.5,2021-01-26 21:00:00
黔西南州,63,45,52,4,16,1.0,34,PM2.5,2021-01-26 21:00:00
毕节市,17,10,14,8,16,0.8,52,―,2021-01-26 21:00:00
黔东南州,49,34,44,22,21,1.3,42,―,2021-01-26 21:00:00
黔南州,40,28,36,11,12,1.2,36,―,2021-01-26 21:00:00
昆明市,51,30,52,7,23,0.5,74,PM10,2021-01-26 21:00:00
曲靖市,43,20,43,6,16,0.4,83,―,2021-01-26 21:00:00
玉溪市,58,41,57,9,31,0.8,79,PM2.5,2021-01-26 21:00:00
保山市,35,24,33,4,11,0.6,68,―,2021-01-26 21:00:00
昭通市,57,38,64,8,24,0.8,48,PM10,2021-01-26 21:00:00
丽江市,25,14,10,5,5,0.2,77,―,2021-01-26 21:00:00
普洱市,64,46,78,5,24,0.8,76,"PM10,PM2.5",2021-01-26 21:00:00
临沧市,62,44,50,8,39,1.1,47,PM2.5,2021-01-26 21:00:00
楚雄州,56,34,62,18,46,1.2,34,PM10,2021-01-26 21:00:00
红河州,78,57,66,7,11,0.7,83,PM2.5,2021-01-26 21:00:00
文山州,63,45,49,7,12,0.6,88,PM2.5,2021-01-26 21:00:00
西双版纳州,84,58,118,10,44,1.6,46,PM10,2021-01-26 21:00:00
大理州,28,13,24,6,6,0.7,88,―,2021-01-26 21:00:00
德宏州,77,54,103,4,46,1.0,61,PM10,2021-01-26 21:00:00
怒江州,69,49,88,8,38,1.5,32,PM10,2021-01-26 21:00:00
迪庆州,28,16,10,4,6,0.5,88,―,2021-01-26 21:00:00
拉萨市,60,16,70,4,9,0.5,76,PM10,2021-01-26 21:00:00
昌都市,32,22,29,13,30,1.0,48,―,2021-01-26 21:00:00
山南市,85,24,120,5,4,0.4,72,PM10,2021-01-26 21:00:00
日喀则市,32,8,32,4,6,0.4,84,―,2021-01-26 21:00:00
那曲市,23,16,16,6,12,1.0,66,―,2021-01-26 21:00:00
阿里地区,26,4,10,8,4,0.5,83,―,2021-01-26 21:00:00
林芝市,25,10,18,8,4,0.4,78,―,2021-01-26 21:00:00
西安市,105,79,153,11,59,1.0,37,PM2.5,2021-01-26 21:00:00
铜川市,123,93,149,42,70,1.2,23,PM2.5,2021-01-26 21:00:00
宝鸡市,135,103,198,8,58,0.9,29,PM2.5,2021-01-26 21:00:00
咸阳市,99,74,147,12,56,0.9,42,"PM10,PM2.5",2021-01-26 21:00:00
渭南市,109,82,165,13,80,1.1,12,PM2.5,2021-01-26 21:00:00
延安市,105,79,149,16,79,1.9,12,PM2.5,2021-01-26 21:00:00
汉中市,130,99,120,11,54,1.6,16,PM2.5,2021-01-26 21:00:00
榆林市,90,48,130,11,50,0.6,37,PM10,2021-01-26 21:00:00
安康市,68,47,86,6,41,1.2,19,PM10,2021-01-26 21:00:00
商洛市,57,30,64,18,50,0.6,48,PM10,2021-01-26 21:00:00
西咸新区,104,75,157,10,64,0.9,27,PM10,2021-01-26 21:00:00
兰州市,103,63,156,14,86,1.2,17,PM10,2021-01-26 21:00:00
嘉峪关市,110,43,170,13,25,0.5,57,PM10,2021-01-26 21:00:00
金昌市,114,34,177,12,24,0.9,52,PM10,2021-01-26 21:00:00
白银市,98,50,146,15,44,0.6,35,PM10,2021-01-26 21:00:00
天水市,91,40,132,15,30,0.8,70,PM10,2021-01-26 21:00:00
武威市,165,124,279,16,47,1.1,24,PM10,2021-01-26 21:00:00
张掖市,80,39,110,14,38,0.5,40,PM10,2021-01-26 21:00:00
平凉市,81,35,112,21,56,1.2,32,PM10,2021-01-26 21:00:00
酒泉市,134,48,218,7,50,0.8,42,PM10,2021-01-26 21:00:00
庆阳市,63,32,76,14,20,0.8,68,PM10,2021-01-26 21:00:00
定西市,97,50,144,18,52,1.1,29,PM10,2021-01-26 21:00:00
陇南市,62,30,74,13,42,0.6,44,PM10,2021-01-26 21:00:00
临夏州,53,18,56,8,50,1.4,22,PM10,2021-01-26 21:00:00
甘南州,67,33,83,21,26,0.6,66,PM10,2021-01-26 21:00:00
兰州新区,88,42,125,26,27,0.6,56,PM10,2021-01-26 21:00:00
西宁市,99,74,123,19,51,1.0,46,PM2.5,2021-01-26 21:00:00
海东地区,113,85,130,21,38,0.9,48,PM2.5,2021-01-26 21:00:00
海北州,53,22,56,15,6,0.4,82,PM10,2021-01-26 21:00:00
黄南州,80,36,109,16,15,0.4,57,PM10,2021-01-26 21:00:00
海南州,70,35,90,10,44,1.0,20,PM10,2021-01-26 21:00:00
果洛州,54,25,57,22,8,0.5,81,PM10,2021-01-26 21:00:00
玉树州,26,9,26,20,26,0.6,36,―,2021-01-26 21:00:00
海西州,54,20,58,19,42,1.2,37,PM10,2021-01-26 21:00:00
银川市,120,56,190,18,59,0.9,18,PM10,2021-01-26 21:00:00
石嘴山市,139,80,228,177,82,1.8,13,PM10,2021-01-26 21:00:00
吴忠市,155,79,259,20,52,1.0,28,PM10,2021-01-26 21:00:00
固原市,75,49,100,11,35,0.7,57,PM10,2021-01-26 21:00:00
